source,target,notes
Gospel,福音,Prefer the Christian term.
Holy Spirit,圣灵,Do not translate as ghost or spirit-being.
grace,恩典,Do not translate as elegance or favor.
salvation,救恩,Preserve the theological meaning.
repentance,悔改,Prefer the church term.
sin,罪,Keep the moral and theological sense.
resurrection,复活,Use the Christian term.
sanctification,成圣,Preserve doctrinal meaning.
communion,圣餐,Use the church sacrament term.
discipleship,门徒训练,Prefer spoken church Mandarin.
Bethany,伯大尼,Use for the church name when appropriate.
Vacation Bible School,暑期圣经学校,Church children's program.
VBS,暑期圣经学校,Use for Vacation Bible School.
registration,报名,Announcement wording.
sign up,报名,Announcement wording.
baptism,洗礼,Use church sacrament/ordinance term.
membership class,会籍课程,Church membership class.
baptism and membership class,洗礼与会籍课程,Announcement wording.
tech team,技术团队,Church service team.
sound training,音响培训,Church tech training.
youth room,青年室,Church room name.
gym door,体育馆门,Church building entrance.
church office,教会办公室,Announcement wording.
service,崇拜,Use for worship service, not generic service work.
after the service,崇拜结束后,Announcement wording.
graduation celebration,毕业庆祝活动,Church announcement wording.
high school graduate,高中毕业生,Announcement wording.
post-secondary,高等教育,Announcement wording.
degree,学位,Education announcement.
diploma,文凭,Education announcement.
Scripture,圣经,Use when referring to the Bible.
the Word of God,神的话,Use the standard church phrase.
the Word,道,Use for John 1 theological wording when context supports it.
Lord,主,Use the Christian title.
Christ,基督,Use the Christian title.
kingdom of God,神的国,Use standard biblical terminology.
eternal life,永生,Use standard biblical terminology.
righteousness,公义,Use theological sense.
covenant,约,Use biblical covenant sense.
faith,信心,Use Christian theological sense.
mercy,怜悯,Use biblical/church term.
forgiveness,赦免,Use theological sense.
redemption,救赎,Use Christian theological term.
atonement,赎罪,Use Christian theological term.
justification,称义,Use doctrinal term.
prophet,先知,Use biblical role.
apostle,使徒,Use biblical role.
disciple,门徒,Use biblical/church term.
parable,比喻,Use biblical teaching term.
psalm,诗篇,Use Bible book/general term.
Proverbs,箴言,Use Bible book name.
Genesis,创世记,Use Bible book name.
Exodus,出埃及记,Use Bible book name.
Matthew,马太福音,Use Bible book name.
Mark,马可福音,Use Bible book name.
Luke,路加福音,Use Bible book name.
John,约翰福音,Use Bible book name when referring to the Gospel.
Romans,罗马书,Use Bible book name.
Revelation,启示录,Use Bible book name.
Acts,使徒行传,Use Bible book name.
Miletus,米利都,Use Bible place name.
Ephesus,以弗所,Use Bible place name.
elders,长老,Use church/Bible office term.
overseers,监督,Use Acts 20 church office term.
flock,羊群,Use biblical church metaphor.
whole counsel of God,神全部的旨意,Do not translate counsel as council.
fierce wolves,凶暴的豺狼,Use Acts 20 wording.
weak,软弱的人,In Romans 15, do not confuse with week.
God of endurance and encouragement,赐忍耐和安慰的神,Romans 15 wording.
one mind and one voice,同心合意、一同开口,Romans 15 wording.
King of Kings and Lord of Lords,万王之王、万主之主,Standard Christian phrase.
Gordon MacDonald,戈登·麦克唐纳,Author/pastor name.
Ordering Your Private World,《重整你内在的世界》,Book title; keep English if church prefers.
Very Draining People,非常消耗人的人,VDP explanation.
VDP,VDP,Keep abbreviation and explain if needed.
